impressions,userdau,newuser,totalinit,income
329694,90648,20015,43727,394.98
734821,177416,49966,89614,1236.71
758171,188766,58533,96429,1327.54
435288,117681,31576,58883,736.75
335282,89861,22956,44669,610.81
341093,88985,24692,45520,641.99
338680,89002,24608,45485,601.01
338810,88556,24225,45379,588.94
741955,169765,60880,92127,1537.65
770947,180150,72489,99583,1584.23
410314,98678,33797,56824,741.69
319371,73528,23884,43908,582.09
321504,74396,24464,44025,598.11
323632,75206,23950,43806,626.52
356901,77221,24760,46520,771.62
794724,154648,65045,95559,1821.79
805553,169431,76855,103278,1744.56
421246,105479,39398,61704,1027.09
332833,78477,26393,45538,711.23
324994,77009,25470,44250,645.43
383773,75629,24908,50203,881.76
452135,75328,24584,55470,990.55
982753,149225,62875,110183,2437.87
1014436,160021,71074,117698,2560.05
587511,100929,37079,73671,1370.63
434392,78980,25968,54013,1130.03
336421,78307,24495,44576,854.54
270178,80749,24764,37742,658.83
307510,80709,24165,42586,897.06
688515,163647,62583,87309,1987.86
685832,182529,72457,87730,1746.21
372321,113904,38519,55377,910.75
303797,87593,26856,45763,633.76
281900,85570,23639,40394,566.37
273236,88267,22821,37437,557.82
270382,90978,23189,37323,560.32
574864,184787,60107,81572,1422.6
593214,209156,71706,91580,1408.74
343965,137525,38372,54274,823.97
194147,105167,26151,34442,558.2
159388,105334,26840,35717,468.54
175401,105387,26005,35888,356.18
204947,108744,27093,36882,530.86
409885,210818,71790,80407,1191.41
439270,226906,83044,87719,1263.19
264573,145208,41253,51534,731.95
241692,118587,33189,41540,559.5
222868,117105,32102,40689,532.07
167161,117166,32188,40409,502.87
167143,122266,34183,41281,635.43
296442,227946,83415,86344,977.56
491118,239491,95857,95397,1723.29
194504,142793,45862,51004,601.38
126616,106477,28974,36709,284.38
113214,108426,28941,36628,260.29
116567,114318,31575,39166,262.84
126846,118458,32153,41010,291.85
80826,162453,55358,34409,205.33
499873,604721,164428,253645,925.36
531237,641806,192589,252238,1004.2
549545,669665,203472,252296,1024.72
579361,753345,246323,301701,1058.43
595847,703063,231829,325875,1135.77
674175,679399,236924,315206,1353.42
628835,639573,220743,308210,1266.88
282358,394527,111970,179702,621.76
184020,282577,68422,124776,436.15
152089,266762,61975,115648,363.37
157465,273828,62122,120076,261.47
162121,279286,64442,113867,164.76
146472,278404,61090,116828,219.53
448387,511004,157568,232021,458.23
415161,529100,170679,235761,499.87
249524,342610,89646,151736,285.18
154669,273198,61760,118937,254.8
148707,272509,59917,119085,215.45
155412,276583,58643,119011,239.17
143011,288766,62982,120157,258.3
470892,536563,159636,246873,810.19
527924,547853,161547,251351,785.43
297527,371908,93694,157166,645.99
305914,294163,64625,92340,670.5
274861,296506,63307,47240,660.42
227239,308017,67558,102782,712.95
223571,318980,68457,117491,740.38
564077,597124,181509,237293,1892.8
546666,608086,189323,240905,1768.18
265273,394619,95677,149577,830.11
166898,318506,72487,117581,387.98
146408,320808,72562,118443,420.29
202175,344459,63197,123928,340.31
214110,363604,56278,119985,366.98
533524,622908,169536,220373,859.07
549898,651059,186705,232793,1043.38
217930,494670,119831,167036,559.17
436870,604115,161875,207266,710.94
397419,694415,203071,245568,942.14
271886,725376,348978,0,1018.86
298953,507114,294415,160779,636.15
1317937,800945,319014,300418,853.78
1344112,798335,315558,305713,908.47
1300390,784743,299111,238823,783.35
817788,795193,280830,136333,660.97
412956,799396,257779,114147,857.87
388989,812596,253318,115211,760.17
642425,793526,236994,134865,718.9
663034,838966,250399,143851,690.55
618559,850521,255474,148205,739.1
674278,837435,246388,150629,660.89
663391,858256,252937,147590,940.08
374716,882018,266545,111099,1072.27
390367,846270,253324,102336,1114.64
532713,901250,266452,117992,1388.26
611364,941348,283816,123905,1638.1
562021,938623,283065,124705,1479.8
563334,930995,282195,129171,1589.32
561757,937578,288887,132060,1630.56
691279,932705,282859,131355,2182.79
599746,926809,276346,134104,1745.34
591780,954478,294949,137166,1744.62
619892,994763,308208,140986,1865.51
703316,980626,307433,140871,2237.24
614053,948236,286502,138494,1728.41
608901,965017,305518,136659,1754.12
559288,947423,305875,137069,1514.56
1335157,922352,277406,320578,2422.82
2647610,934495,266446,505540,3633.51
3037873,1056016,333391,577286,4081.81
3051867,1066465,327124,578652,4153.98
2874337,1101342,314986,589562,3884.06
2365671,979438,292860,548589,3016.4
2512573,909473,270692,534193,3653.25
2437272,904467,269393,529194,3680.56
2541698,916805,276062,520647,3857.51
2803171,974090,301638,552509,4226.19
2724548,959157,297155,538035,4109.93
2563246,928861,286939,523914,3824.48
2339420,942361,305504,535726,3699.85
2333882,922584,290799,524907,3703.39
2441116,948454,310364,539436,3924.35
2579891,938742,303823,546315,3937.97
2642061,997989,328910,580717,3930.07
2700100,980422,325813,573475,3822.44
2652843,932638,304029,546161,3733.68
2687017,930666,310841,553435,3717.99
2459205,910608,297710,540055,3590.73
2374948,924340,313707,530724,3586.85
2353548,922069,317223,538636,3543.27
2542621,1005204,352890,584592,3295.61
2596821,972969,343338,568112,3517.03
2565318,925402,325534,552205,3383.95
2616981,909282,325608,540408,3559.06
2439710,887771,316597,522100,3362.01
2504405,883391,257744,517507,3334.96
2321123,832898,291037,492215,3011.88
2589171,949948,348646,561501,3660.49
2320188,961281,354168,538110,3001.47
1637900,882757,307606,427868,2289.18
1579070,731409,244621,387380,2332.94
1286352,502289,156516,288172,1834.6
1130336,473584,144892,270146,1586.36
1025802,451951,133130,256518,1425.37
1359884,603084,198604,337603,1995.82
1459898,613200,210631,352706,2033.52
1032260,470426,142934,265385,1495.1
895814,409215,116098,231772,1280.86
827967,387014,104837,215122,1240.2
817356,382213,101871,215644,1394.67
904659,385185,103784,224211,1639.72
1670495,603047,202275,361715,3277.95
1639585,608725,213271,358145,3242.76
978718,421662,117404,236785,1660.69
784372,361457,93277,202319,1253.78
788036,364902,95435,206245,1252.75
805881,372845,98832,208866,1314.76
774417,374193,98480,205435,1290.53
1446419,616424,209335,347433,2791.88
1499447,642422,196106,359541,2870.97
890970,445096,119374,241114,1635.78
780103,384227,104459,208417,1393.8
819721,390080,107566,214659,1509.99
851498,397691,112549,226209,1633.61
810760,392741,108306,225729,1530.23
1463088,607890,201809,360994,2939.02
1514142,610191,203700,354973,2883.96
912700,426342,107297,257062,1734.06
1074914,465024,127948,283097,2136.27
871267,411474,105132,242019,1428.37
1651271,727680,248936,443901,2877.16
1741048,733411,272302,446322,3065.5
1508607,696915,265190,400920,2684.75
929562,458044,135472,237331,1543.71
734123,357320,90175,158000,1138.18
693763,326269,81239,153592,940
696807,331879,85253,156521,1127.52
669988,334821,85026,159615,1120.04
677182,347592,90093,160754,1153.81
1409287,598134,214268,286814,2462.64
1384719,611196,229970,290816,2162.84
705487,402225,118291,172739,1164.98
511515,334095,87691,97702,792.22
499226,330180,87721,96747,795.17
464306,327783,87243,95558,720.88
499623,347551,90621,97974,822.07
1049178,603666,211309,187214,1846.5
1077609,627230,234722,195100,1940.17
594932,418638,123299,117691,984.71
